incident_type,urgency,location_desc,details,hazards,people,hour,is_weekend,police,ambulance,bomba
Fire,3,"Street 428, near the Industrial Zone",Small kitchen fire,Chemical smell,9 people evacuated,22,1,1,1,5
Crime,4,"Street 499, near the City Center",Break-in,Weapons sighted,Suspect and 2 witnesses,2,0,4,2,2
Fire,4,"Street 486, near the Residential Area",Spreading to trees,Chemical smell,2 people evacuated,21,1,1,2,6
Other,4,"Street 34, near the Forest",General emergency reported,Unknown,Multiple bystanders,2,0,1,2,2
Medical,4,"Street 272, near the Highway",Allergic reaction,None,1 person involved,17,1,1,4,2
Fire,2,"Street 61, near the Residential Area",Small kitchen fire,Explosion risk,6 people evacuated,14,1,0,1,5
Other,1,"Street 350, near the Highway",General emergency reported,Unknown,Multiple bystanders,10,1,0,0,0
Crime,5,"Street 250, near the City Center",Break-in,None,Suspect and 1 witnesses,14,0,5,2,3
Fire,4,"Street 225, near the Residential Area",Small kitchen fire,Chemical smell,6 people evacuated,23,0,1,2,6
Medical,1,"Street 297, near the Forest",Cardiac arrest,None,1 person involved,8,0,0,2,0
Medical,2,"Street 326, near the Highway",Cardiac arrest,None,1 person involved,20,0,0,3,1
Other,4,"Street 474, near the Forest",General emergency reported,Unknown,Multiple bystanders,18,0,1,2,2
Medical,2,"Street 328, near the City Center",Cardiac arrest,None,1 person involved,15,0,0,3,1
Crime,2,"Street 464, near the Highway",Break-in,None,Suspect and 1 witnesses,13,0,3,1,1
Crime,5,"Street 47, near the Industrial Zone",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,1,1,5,2,3
Fire,2,"Street 456, near the Industrial Zone",Spreading to trees,Chemical smell,9 people evacuated,4,0,0,1,5
Medical,1,"Street 499, near the City Center",Cardiac arrest,None,1 person involved,2,1,0,2,0
Medical,1,"Street 486, near the Forest",Unconscious person,None,1 person involved,16,0,0,2,0
Medical,2,"Street 429, near the Residential Area",Allergic reaction,None,1 person involved,16,0,0,3,1
Accident,5,"Street 412, near the Highway",General emergency reported,Unknown,Multiple bystanders,7,0,3,4,3
Other,3,"Street 315, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,1,1,1,1,1
Crime,2,"Street 312, near the Forest",Public disturbance,None,Suspect and 2 witnesses,5,0,3,1,1
Crime,2,"Street 79, near the Residential Area",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,23,0,3,1,1
Fire,2,"Street 419, near the Residential Area",Spreading to trees,Explosion risk,1 people evacuated,17,1,0,1,5
Accident,4,"Street 342, near the Forest",General emergency reported,Unknown,Multiple bystanders,18,0,2,3,2
Accident,2,"Street 479, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,2,1,1,2,1
Fire,2,"Street 113, near the Highway",Small kitchen fire,Chemical smell,2 people evacuated,10,0,0,1,5
Crime,3,"Street 391, near the Highway",Break-in,Aggressive behavior,Suspect and 1 witnesses,22,0,4,1,1
Accident,2,"Street 344, near the Highway",General emergency reported,Unknown,Multiple bystanders,18,1,1,2,1
Medical,1,"Street 334, near the Forest",Cardiac arrest,None,1 person involved,12,1,0,2,0
Medical,5,"Street 72, near the City Center",Allergic reaction,None,1 person involved,22,0,2,4,3
Accident,3,"Street 181, near the Highway",General emergency reported,Unknown,Multiple bystanders,19,0,2,3,1
Other,2,"Street 345, near the City Center",General emergency reported,Unknown,Multiple bystanders,19,1,0,1,1
Other,1,"Street 255, near the City Center",General emergency reported,Unknown,Multiple bystanders,13,1,0,0,0
Medical,4,"Street 499, near the Highway",Unconscious person,None,1 person involved,2,1,1,4,2
Crime,3,"Street 253, near the Industrial Zone",Public disturbance,Weapons sighted,Suspect and 2 witnesses,18,0,4,1,1
Accident,5,"Street 489, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,23,0,3,4,3
Medical,4,"Street 308, near the Forest",Cardiac arrest,None,1 person involved,6,1,1,4,2
Accident,5,"Street 491, near the City Center",General emergency reported,Unknown,Multiple bystanders,4,1,3,4,3
Medical,3,"Street 202, near the City Center",Allergic reaction,None,1 person involved,20,1,1,3,1
Fire,5,"Street 439, near the Residential Area",Spreading to trees,Explosion risk,3 people evacuated,19,1,2,2,7
Accident,2,"Street 428, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,18,0,1,2,1
Medical,2,"Street 220, near the Industrial Zone",Unconscious person,None,1 person involved,10,0,0,3,1
Crime,3,"Street 28, near the Forest",Break-in,None,Suspect and 1 witnesses,19,1,4,1,1
Fire,4,"Street 397, near the Forest",Small kitchen fire,Chemical smell,4 people evacuated,22,0,1,2,6
Crime,4,"Street 24, near the Industrial Zone",Public disturbance,Weapons sighted,Suspect and 2 witnesses,14,0,4,2,2
Crime,2,"Street 391, near the Forest",Break-in,None,Suspect and 2 witnesses,10,1,3,1,1
Accident,3,"Street 361, near the Highway",General emergency reported,Unknown,Multiple bystanders,18,1,2,3,1
Accident,3,"Street 321, near the City Center",General emergency reported,Unknown,Multiple bystanders,8,0,2,3,1
Crime,4,"Street 39, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,1,0,4,2,2
Accident,1,"Street 114, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,7,0,1,2,0
Crime,2,"Street 280, near the Residential Area",Break-in,None,Suspect and 2 witnesses,17,0,3,1,1
Fire,1,"Street 360, near the Highway",Small kitchen fire,Chemical smell,8 people evacuated,4,1,0,0,4
Medical,1,"Street 398, near the City Center",Unconscious person,None,1 person involved,16,1,0,2,0
Fire,2,"Street 138, near the Industrial Zone",Spreading to trees,Chemical smell,6 people evacuated,4,0,0,1,5
Crime,3,"Street 188, near the Forest",Break-in,Weapons sighted,Suspect and 2 witnesses,21,0,4,1,1
Fire,2,"Street 282, near the City Center",Building engulfed,Chemical smell,9 people evacuated,8,1,0,1,5
Fire,5,"Street 339, near the City Center",Small kitchen fire,Thick smoke,6 people evacuated,12,1,2,2,7
Crime,2,"Street 488, near the Highway",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,19,0,3,1,1
Accident,5,"Street 424, near the City Center",General emergency reported,Unknown,Multiple bystanders,14,0,3,4,3
Other,2,"Street 279, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,9,1,0,1,1
Fire,2,"Street 213, near the Highway",Building engulfed,Thick smoke,4 people evacuated,21,1,0,1,5
Crime,5,"Street 425, near the City Center",Armed robbery in progress,None,Suspect and 1 witnesses,20,1,5,2,3
Medical,1,"Street 388, near the Highway",Unconscious person,None,1 person involved,0,0,0,2,0
Medical,5,"Street 276, near the Forest",Unconscious person,None,1 person involved,14,0,2,4,3
Crime,1,"Street 394, near the Industrial Zone",Armed robbery in progress,None,Suspect and 1 witnesses,3,0,3,0,0
Other,1,"Street 249, near the Forest",General emergency reported,Unknown,Multiple bystanders,6,0,0,0,0
Crime,4,"Street 373, near the Residential Area",Break-in,Aggressive behavior,Suspect and 1 witnesses,22,1,4,2,2
Other,3,"Street 453, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,5,0,1,1,1
Fire,5,"Street 482, near the City Center",Small kitchen fire,Thick smoke,5 people evacuated,9,0,2,2,7
Other,3,"Street 442, near the City Center",General emergency reported,Unknown,Multiple bystanders,15,1,1,1,1
Medical,3,"Street 296, near the Residential Area",Cardiac arrest,None,1 person involved,3,1,1,3,1
Other,4,"Street 423, near the City Center",General emergency reported,Unknown,Multiple bystanders,8,0,1,2,2
Fire,3,"Street 132, near the Highway",Building engulfed,Thick smoke,4 people evacuated,9,0,1,1,5
Crime,5,"Street 13, near the Forest",Break-in,Aggressive behavior,Suspect and 2 witnesses,2,1,5,2,3
Crime,4,"Street 51, near the Highway",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,14,1,4,2,2
Fire,3,"Street 277, near the Highway",Small kitchen fire,Chemical smell,2 people evacuated,11,0,1,1,5
Accident,5,"Street 48, near the Highway",General emergency reported,Unknown,Multiple bystanders,17,1,3,4,3
Accident,5,"Street 51, near the Highway",General emergency reported,Unknown,Multiple bystanders,10,1,3,4,3
Other,3,"Street 327, near the City Center",General emergency reported,Unknown,Multiple bystanders,10,1,1,1,1
Accident,5,"Street 392, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,0,3,4,3
Fire,1,"Street 259, near the Highway",Building engulfed,Chemical smell,5 people evacuated,13,1,0,0,4
Fire,1,"Street 432, near the City Center",Spreading to trees,Explosion risk,7 people evacuated,16,1,0,0,4
Crime,1,"Street 55, near the Highway",Public disturbance,None,Suspect and 2 witnesses,17,0,3,0,0
Other,2,"Street 221, near the Highway",General emergency reported,Unknown,Multiple bystanders,14,1,0,1,1
Other,2,"Street 21, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,6,1,0,1,1
Other,3,"Street 97, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,5,0,1,1,1
Other,5,"Street 414, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,7,1,2,2,3
Fire,4,"Street 438, near the City Center",Building engulfed,Explosion risk,4 people evacuated,11,0,1,2,6
Fire,2,"Street 217, near the Highway",Building engulfed,Thick smoke,8 people evacuated,15,1,0,1,5
Accident,2,"Street 127, near the Highway",General emergency reported,Unknown,Multiple bystanders,1,1,1,2,1
Other,4,"Street 95, near the Forest",General emergency reported,Unknown,Multiple bystanders,4,0,1,2,2
Fire,3,"Street 345, near the Residential Area",Building engulfed,Explosion risk,7 people evacuated,14,0,1,1,5
Other,5,"Street 376, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,19,0,2,2,3
Accident,4,"Street 76, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,5,1,2,3,2
Crime,5,"Street 99, near the Forest",Armed robbery in progress,None,Suspect and 1 witnesses,5,0,5,2,3
Fire,5,"Street 318, near the Highway",Spreading to trees,Thick smoke,2 people evacuated,2,1,2,2,7
Fire,3,"Street 442, near the Highway",Building engulfed,Explosion risk,3 people evacuated,8,0,1,1,5
Fire,5,"Street 3, near the Industrial Zone",Small kitchen fire,Explosion risk,7 people evacuated,16,1,2,2,7
Medical,1,"Street 107, near the Residential Area",Cardiac arrest,None,1 person involved,3,0,0,2,0
Medical,1,"Street 87, near the Industrial Zone",Cardiac arrest,None,1 person involved,15,0,0,2,0
Other,1,"Street 273, near the Forest",General emergency reported,Unknown,Multiple bystanders,1,1,0,0,0
Other,3,"Street 316, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,1,1,1,1
Crime,5,"Street 429, near the City Center",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,9,0,5,2,3
Crime,3,"Street 426, near the Forest",Armed robbery in progress,None,Suspect and 2 witnesses,5,0,4,1,1
Crime,2,"Street 81, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,18,1,3,1,1
Medical,4,"Street 207, near the Industrial Zone",Unconscious person,None,1 person involved,23,0,1,4,2
Medical,5,"Street 214, near the Residential Area",Cardiac arrest,None,1 person involved,9,0,2,4,3
Other,3,"Street 160, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,23,1,1,1,1
Fire,3,"Street 389, near the Industrial Zone",Small kitchen fire,Thick smoke,8 people evacuated,3,1,1,1,5
Medical,4,"Street 413, near the Highway",Unconscious person,None,1 person involved,5,0,1,4,2
Medical,4,"Street 412, near the Residential Area",Cardiac arrest,None,1 person involved,1,0,1,4,2
Crime,5,"Street 178, near the Highway",Break-in,None,Suspect and 1 witnesses,16,0,5,2,3
Crime,1,"Street 179, near the Industrial Zone",Armed robbery in progress,None,Suspect and 2 witnesses,15,1,3,0,0
Medical,2,"Street 343, near the Forest",Unconscious person,None,1 person involved,13,0,0,3,1
Medical,4,"Street 267, near the Residential Area",Cardiac arrest,None,1 person involved,10,0,1,4,2
Accident,5,"Street 257, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,11,1,3,4,3
Fire,5,"Street 451, near the Highway",Small kitchen fire,Thick smoke,9 people evacuated,1,1,2,2,7
Fire,5,"Street 437, near the Highway",Spreading to trees,Thick smoke,7 people evacuated,19,1,2,2,7
Accident,3,"Street 265, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,8,1,2,3,1
Crime,2,"Street 80, near the Forest",Public disturbance,Weapons sighted,Suspect and 1 witnesses,19,1,3,1,1
Medical,3,"Street 356, near the Industrial Zone",Allergic reaction,None,1 person involved,0,1,1,3,1
Medical,5,"Street 358, near the City Center",Allergic reaction,None,1 person involved,0,1,2,4,3
Crime,2,"Street 43, near the City Center",Armed robbery in progress,None,Suspect and 1 witnesses,9,1,3,1,1
Other,4,"Street 28, near the City Center",General emergency reported,Unknown,Multiple bystanders,0,1,1,2,2
Other,1,"Street 378, near the City Center",General emergency reported,Unknown,Multiple bystanders,4,1,0,0,0
Other,4,"Street 282, near the Forest",General emergency reported,Unknown,Multiple bystanders,16,0,1,2,2
Crime,3,"Street 453, near the Residential Area",Armed robbery in progress,None,Suspect and 2 witnesses,23,0,4,1,1
Medical,3,"Street 413, near the City Center",Allergic reaction,None,1 person involved,8,1,1,3,1
Fire,3,"Street 255, near the City Center",Building engulfed,Chemical smell,2 people evacuated,5,1,1,1,5
Accident,5,"Street 82, near the City Center",General emergency reported,Unknown,Multiple bystanders,2,0,3,4,3
Fire,2,"Street 148, near the Highway",Building engulfed,Thick smoke,6 people evacuated,12,1,0,1,5
Other,1,"Street 23, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,7,0,0,0,0
Accident,5,"Street 399, near the Forest",General emergency reported,Unknown,Multiple bystanders,20,1,3,4,3
Other,2,"Street 90, near the Forest",General emergency reported,Unknown,Multiple bystanders,1,1,0,1,1
Crime,3,"Street 108, near the Residential Area",Break-in,Aggressive behavior,Suspect and 1 witnesses,14,0,4,1,1
Crime,4,"Street 50, near the Industrial Zone",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,20,0,4,2,2
Accident,5,"Street 388, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,11,0,3,4,3
Accident,5,"Street 350, near the Highway",General emergency reported,Unknown,Multiple bystanders,18,0,3,4,3
Fire,1,"Street 274, near the City Center",Small kitchen fire,Explosion risk,6 people evacuated,6,0,0,0,4
Accident,1,"Street 499, near the Forest",General emergency reported,Unknown,Multiple bystanders,22,0,1,2,0
Crime,3,"Street 369, near the City Center",Break-in,Weapons sighted,Suspect and 1 witnesses,4,0,4,1,1
Fire,1,"Street 44, near the Highway",Small kitchen fire,Thick smoke,2 people evacuated,14,0,0,0,4
Crime,4,"Street 144, near the City Center",Public disturbance,None,Suspect and 1 witnesses,5,0,4,2,2
Medical,2,"Street 70, near the Industrial Zone",Allergic reaction,None,1 person involved,3,1,0,3,1
Accident,5,"Street 206, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,6,0,3,4,3
Medical,4,"Street 481, near the Forest",Unconscious person,None,1 person involved,7,0,1,4,2
Fire,4,"Street 168, near the City Center",Spreading to trees,Thick smoke,8 people evacuated,20,0,1,2,6
Accident,5,"Street 144, near the Forest",General emergency reported,Unknown,Multiple bystanders,17,1,3,4,3
Accident,1,"Street 171, near the Highway",General emergency reported,Unknown,Multiple bystanders,11,1,1,2,0
